compte_aux;intitule;non_echu;0_30j;31_60j;61_90j;plus_90j
C001;Bâtiplace SARL;34100,00;13200,00;4400,00;2200,00;1100,00
C002;Verrería del Sur SL;59520,00;23040,00;7680,00;3840,00;1920,00
C003;Menuiseries Chartier SAS;44020,00;17040,00;5680,00;2840,00;1420,00
C004;Groupe Immovance SA;55180,00;21360,00;7120,00;3560,00;1780,00
C005;Façades Rhodaniennes SARL;63240,00;24480,00;8160,00;4080,00;2040,00
C006;Constructions Peyrelle SAS;91760,00;35520,00;11840,00;5920,00;2960,00
C007;Atelier Lumière & Verre EURL;28520,00;11040,00;3680,00;1840,00;920,00
C009;Négoce Vitrages Réunis SARL;52080,00;20160,00;6720,00;3360,00;1680,00
C010;Promoteurs du Forez SA;55800,00;21600,00;7200,00;3600,00;1800,00
C011;Serres & Vérandas Alpines SAS;11780,00;4560,00;1520,00;760,00;380,00
C013;Vitrages du Bocage SARL;73160,00;28320,00;9440,00;4720,00;2360,00
C014;Serrurerie Naves EURL;13640,00;5280,00;1760,00;880,00;440,00
