JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
AN	À-nouveaux	AN-2025-0001	20250101	205000	Licences et logiciels			AN-2025	20250101	Reprise des à-nouveaux	18000,00	0,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	280500	Amort. licences et logiciels			AN-2025	20250101	Reprise des à-nouveaux	0,00	6000,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	213500	Installations techniques			AN-2025	20250101	Reprise des à-nouveaux	2400000,00	0,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	218300	Matériel de bureau et informatique			AN-2025	20250101	Reprise des à-nouveaux	120000,00	0,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	281350	Amort. installations techniques			AN-2025	20250101	Reprise des à-nouveaux	0,00	1150000,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	281830	Amort. matériel de bureau			AN-2025	20250101	Reprise des à-nouveaux	0,00	80000,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	301000	Stocks matières premières			AN-2025	20250101	Reprise des à-nouveaux	420000,00	0,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	355000	Stocks produits finis			AN-2025	20250101	Reprise des à-nouveaux	380000,00	0,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	411000	Clients  collectif			AN-2025	20250101	Reprise des à-nouveaux	940000,00	0,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	401000	Fournisseurs  collectif			AN-2025	20250101	Reprise des à-nouveaux	0,00	610000,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	421000	Personnel  rémunérations dues			AN-2025	20250101	Reprise des à-nouveaux	0,00	115000,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	431000	Sécurité sociale			AN-2025	20250101	Reprise des à-nouveaux	0,00	92000,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	437000	Autres organismes sociaux			AN-2025	20250101	Reprise des à-nouveaux	0,00	10000,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	445510	TVA à décaisser			AN-2025	20250101	Reprise des à-nouveaux	0,00	96000,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	512100	Banque Lyonnaise de Crédit (fictive)			AN-2025	20250101	Reprise des à-nouveaux	385000,00	0,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	164000	Emprunts auprès des éts de crédit			AN-2025	20250101	Reprise des à-nouveaux	0,00	800000,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	151000	Provisions pour risques			AN-2025	20250101	Reprise des à-nouveaux	0,00	60000,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	101000	Capital social			AN-2025	20250101	Reprise des à-nouveaux	0,00	500000,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	106100	Réserve légale			AN-2025	20250101	Reprise des à-nouveaux	0,00	50000,00			20250131		
AN	À-nouveaux	AN-2025-0001	20250101	110000	Report à nouveau			AN-2025	20250101	Reprise des à-nouveaux	0,00	1094000,00			20250131		
BQ	Banque	BQ-2025-0001	20250120	512100	Banque			REL-2025-01A	20250120	Encaissements clients ouverture	550000,00	0,00			20250131		
BQ	Banque	BQ-2025-0001	20250120	411000	Clients			REL-2025-01A	20250120	Encaissements clients ouverture	0,00	550000,00			20250131		
BQ	Banque	BQ-2025-0002	20250214	512100	Banque			REL-2025-02A	20250214	Encaissements clients ouverture (solde)	390000,00	0,00			20250228		
BQ	Banque	BQ-2025-0002	20250214	411000	Clients			REL-2025-02A	20250214	Encaissements clients ouverture (solde)	0,00	390000,00			20250228		
BQ	Banque	BQ-2025-0003	20250125	401000	Fournisseurs			REG-2025-01A	20250125	Règlements fournisseurs ouverture	400000,00	0,00			20250131		
BQ	Banque	BQ-2025-0003	20250125	512100	Banque			REG-2025-01A	20250125	Règlements fournisseurs ouverture	0,00	400000,00			20250131		
BQ	Banque	BQ-2025-0004	20250225	401000	Fournisseurs			REG-2025-02A	20250225	Règlements fournisseurs ouverture (solde)	210000,00	0,00			20250228		
BQ	Banque	BQ-2025-0004	20250225	512100	Banque			REG-2025-02A	20250225	Règlements fournisseurs ouverture (solde)	0,00	210000,00			20250228		
BQ	Banque	BQ-2025-0005	20250103	421000	Personnel			VIR-PAIE-2412	20250103	Paie décembre 2024  virement	115000,00	0,00			20250131		
BQ	Banque	BQ-2025-0005	20250103	512100	Banque			VIR-PAIE-2412	20250103	Paie décembre 2024  virement	0,00	115000,00			20250131		
BQ	Banque	BQ-2025-0006	20250115	431000	Sécurité sociale			CHG-SOC-2412	20250115	Charges sociales décembre 2024	92000,00	0,00			20250131		
BQ	Banque	BQ-2025-0006	20250115	437000	Autres organismes			CHG-SOC-2412	20250115	Charges sociales décembre 2024	10000,00	0,00			20250131		
BQ	Banque	BQ-2025-0006	20250115	512100	Banque			CHG-SOC-2412	20250115	Charges sociales décembre 2024	0,00	102000,00			20250131		
BQ	Banque	BQ-2025-0007	20250120	445510	TVA à décaisser			TVA-2412	20250120	TVA décembre 2024	96000,00	0,00			20250131		
